Postal_District,Postal_District_Name,Population
D01,"Raffles Place, Cecil, Marina, People's Park",6450
D02,"Anson, Tanjong Pagar",18340
D03,"Queenstown, Tiong Bahru",95930
D04,"Telok Blangah, Harbourfront",153190
D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",91990
D06,"High Street, Beach Road (part)",510
D07,"Middle Road, Golden Mile",13120
D08,Little India,101290
D09,"Orchard, Cairnhill, River Valley",10990
D10,"Ardmore, Bukit Timah, Holland Road, Tanglin",21810
D11,"Watten Estate, Novena, Thomson",57590
D12,"Balestier, Toa Payoh, Serangoon",121850
D13,"Macpherson, Braddell",40
D14,"Geylang, Eunos",110110
D15,"Katong, Joo Chiat, Amber Road",46220
D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",276990
D17,"Loyang, Changi",1850
D18,"Tampines, Pasir Ris",407010
D19,"Serangoon Garden, Hougang, Punggol",768330
D20,"Bishan, Ang Mo Kio",249600
D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",77860
D22,Jurong,341530
D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",488370
D24,"Lim Chu Kang, Tengah",760
D25,"Kranji, Woodgrove",255880
D26,"Upper Thomson, Springleaf",2090
D27,"Yishun, Sembawang",324250
D28,Seletar,300
